scan_number,time0,time1,time2,time3
2099,2023-10-13T15:38:38+00:00,2023-10-13T15:35:51+00:00,2023-10-13T15:33:45+00:00,2023-10-13T15:40:59+00:00
2100,2023-10-13T15:38:43+00:00,2023-10-13T15:35:56+00:00,2023-10-13T15:33:50+00:00,2023-10-13T15:41:04+00:00
2101,2023-10-13T15:38:48+00:00,2023-10-13T15:36:01+00:00,2023-10-13T15:33:55+00:00,2023-10-13T15:41:09+00:00
2102,2023-10-13T15:38:53+00:00,2023-10-13T15:36:06+00:00,2023-10-13T15:34:00+00:00,2023-10-13T15:41:14+00:00
2103,2023-10-13T15:38:58+00:00,2023-10-13T15:36:11+00:00,2023-10-13T15:34:05+00:00,2023-10-13T15:41:19+00:00
2104,2023-10-13T15:39:03+00:00,2023-10-13T15:36:16+00:00,2023-10-13T15:34:10+00:00,2023-10-13T15:41:24+00:00
2105,2023-10-13T15:39:08+00:00,2023-10-13T15:36:21+00:00,2023-10-13T15:34:15+00:00,2023-10-13T15:41:29+00:00
2106,2023-10-13T15:39:13+00:00,2023-10-13T15:36:26+00:00,2023-10-13T15:34:20+00:00,2023-10-13T15:41:34+00:00
2107,2023-10-13T15:39:18+00:00,2023-10-13T15:36:31+00:00,2023-10-13T15:34:25+00:00,2023-10-13T15:41:39+00:00
2108,2023-10-13T15:39:23+00:00,2023-10-13T15:36:36+00:00,2023-10-13T15:34:30+00:00,2023-10-13T15:41:44+00:00
2109,2023-10-13T15:39:28+00:00,2023-10-13T15:36:41+00:00,2023-10-13T15:34:35+00:00,2023-10-13T15:41:49+00:00
2110,2023-10-13T15:39:33+00:00,2023-10-13T15:36:46+00:00,2023-10-13T15:34:40+00:00,2023-10-13T15:41:54+00:00
2111,2023-10-13T15:39:38+00:00,2023-10-13T15:36:51+00:00,2023-10-13T15:34:45+00:00,2023-10-13T15:41:59+00:00
2112,2023-10-13T15:39:43+00:00,2023-10-13T15:36:56+00:00,2023-10-13T15:34:50+00:00,2023-10-13T15:42:04+00:00
2113,2023-10-13T15:39:48+00:00,2023-10-13T15:37:01+00:00,2023-10-13T15:34:55+00:00,2023-10-13T15:42:09+00:00
2114,2023-10-13T15:39:53+00:00,2023-10-13T15:37:06+00:00,2023-10-13T15:35:00+00:00,2023-10-13T15:42:14+00:00
2115,2023-10-13T15:39:58+00:00,2023-10-13T15:37:11+00:00,2023-10-13T15:35:05+00:00,2023-10-13T15:42:19+00:00
2116,2023-10-13T15:40:03+00:00,2023-10-13T15:37:16+00:00,2023-10-13T15:35:10+00:00,2023-10-13T15:42:24+00:00
