distiller_id,scan_number,nersc_write_time,ncem_created_time,time_difference_seconds
3873,4366,2023-10-13 15:56:52,2023-10-13 15:56:25,27.0
3874,4367,2023-10-13 15:57:49,2023-10-13 15:57:20,29.0
3875,4368,2023-10-13 15:58:41,2023-10-13 15:58:15,26.0
3876,4369,2023-10-13 15:59:35,2023-10-13 15:59:10,25.0
3877,4370,2023-10-13 16:00:31,2023-10-13 16:00:05,26.0
3878,4371,2023-10-13 16:01:24,2023-10-13 16:01:00,24.0
3879,4372,2023-10-13 16:02:20,2023-10-13 16:01:55,25.0
3880,4373,2023-10-13 16:03:15,2023-10-13 16:02:50,25.0
3881,4374,2023-10-13 16:04:10,2023-10-13 16:03:45,25.0
3882,4375,2023-10-13 16:05:05,2023-10-13 16:04:40,25.0
3883,4376,2023-10-13 16:06:00,2023-10-13 16:05:35,25.0
3884,4377,2023-10-13 16:06:53,2023-10-13 16:06:30,23.0
3885,4378,2023-10-13 16:07:49,2023-10-13 16:07:25,24.0
3886,4379,2023-10-13 16:08:45,2023-10-13 16:08:20,25.0
3887,4380,2023-10-13 16:09:39,2023-10-13 16:09:15,24.0
3888,4381,2023-10-13 16:10:35,2023-10-13 16:10:10,25.0
3889,4382,2023-10-13 16:11:31,2023-10-13 16:11:05,26.0
3890,4383,2023-10-13 16:12:26,2023-10-13 16:12:00,26.0
3891,4384,2023-10-13 16:13:20,2023-10-13 16:12:55,25.0
3892,4385,2023-10-13 16:14:14,2023-10-13 16:13:50,24.0
3893,4386,2023-10-13 16:15:11,2023-10-13 16:14:45,26.0
3894,4387,2023-10-13 16:16:04,2023-10-13 16:15:40,24.0
3895,4388,2023-10-13 16:16:59,2023-10-13 16:16:35,24.0
3896,4389,2023-10-13 16:17:55,2023-10-13 16:17:30,25.0
3897,4390,2023-10-13 16:18:49,2023-10-13 16:18:25,24.0
3898,4391,2023-10-13 16:19:44,2023-10-13 16:19:20,24.0
3899,4392,2023-10-13 16:20:42,2023-10-13 16:20:15,27.0
3900,4393,2023-10-13 16:21:35,2023-10-13 16:21:10,25.0
3901,4394,2023-10-13 16:22:31,2023-10-13 16:22:05,26.0
3902,4395,2023-10-13 16:23:25,2023-10-13 16:23:00,25.0
3903,4396,2023-10-13 16:24:19,2023-10-13 16:23:55,24.0
3904,4397,2023-10-13 16:25:14,2023-10-13 16:24:50,24.0
3905,4398,2023-10-13 16:26:11,2023-10-13 16:25:45,26.0
3906,4399,2023-10-13 16:27:05,2023-10-13 16:26:40,25.0
3907,4400,2023-10-13 16:28:05,2023-10-13 16:27:35,30.0
3908,4401,2023-10-13 16:28:55,2023-10-13 16:28:30,25.0
3910,4402,2023-10-13 16:29:57,2023-10-13 16:29:25,32.0
3911,4403,2023-10-13 16:30:47,2023-10-13 16:30:20,27.0
3912,4404,2023-10-13 16:31:43,2023-10-13 16:31:15,28.0
3913,4405,2023-10-13 16:34:52,2023-10-13 16:34:23,29.0
3914,4406,2023-10-13 16:35:44,2023-10-13 16:35:18,26.0
3915,4407,2023-10-13 16:36:39,2023-10-13 16:36:13,26.0
3916,4408,2023-10-13 16:37:33,2023-10-13 16:37:09,24.0
3917,4409,2023-10-13 16:38:33,2023-10-13 16:38:04,29.0
3918,4410,2023-10-13 16:39:24,2023-10-13 16:38:59,25.0
3919,4411,2023-10-13 16:40:19,2023-10-13 16:39:54,25.0
3920,4412,2023-10-13 16:41:13,2023-10-13 16:40:49,24.0
3921,4413,2023-10-13 16:42:08,2023-10-13 16:41:44,24.0
3922,4414,2023-10-13 16:43:02,2023-10-13 16:42:39,23.0
3923,4415,2023-10-13 16:43:58,2023-10-13 16:43:34,24.0
3924,4416,2023-10-13 16:44:54,2023-10-13 16:44:29,25.0
3925,4417,2023-10-13 16:45:51,2023-10-13 16:45:24,27.0
3926,4418,2023-10-13 16:46:44,2023-10-13 16:46:19,25.0
3927,4419,2023-10-13 16:47:42,2023-10-13 16:47:14,28.0
3928,4420,2023-10-13 16:48:34,2023-10-13 16:48:09,25.0
3929,4421,2023-10-13 16:49:32,2023-10-13 16:49:04,28.0
3930,4422,2023-10-13 16:50:25,2023-10-13 16:49:59,26.0
