scan_number,time0,time1,time2,time3,time_last_written
4789,2023-10-17T15:44:02+00:00,2023-10-17T15:44:02+00:00,2023-10-17T15:44:02+00:00,2023-10-17T15:44:02+00:00,2023-10-17T15:46:27+00:00
4790,2023-10-17T15:47:22+00:00,2023-10-17T15:47:22+00:00,2023-10-17T15:47:22+00:00,2023-10-17T15:47:22+00:00,2023-10-17T15:49:53+00:00
4791,2023-10-17T15:50:42+00:00,2023-10-17T15:50:42+00:00,2023-10-17T15:50:42+00:00,2023-10-17T15:50:42+00:00,2023-10-17T15:53:12+00:00
4792,2023-10-17T16:04:17+00:00,2023-10-17T16:04:17+00:00,2023-10-17T16:04:17+00:00,2023-10-17T16:04:17+00:00,2023-10-17T16:06:40+00:00
4793,2023-10-17T16:07:37+00:00,2023-10-17T16:07:37+00:00,2023-10-17T16:07:37+00:00,2023-10-17T16:07:37+00:00,2023-10-17T16:10:10+00:00
4794,2023-10-17T16:10:57+00:00,2023-10-17T16:10:57+00:00,2023-10-17T16:10:57+00:00,2023-10-17T16:10:57+00:00,2023-10-17T16:13:25+00:00
4795,2023-10-17T16:14:17+00:00,2023-10-17T16:14:17+00:00,2023-10-17T16:14:17+00:00,2023-10-17T16:14:17+00:00,2023-10-17T16:16:43+00:00
4796,2023-10-17T16:17:37+00:00,2023-10-17T16:17:37+00:00,2023-10-17T16:17:37+00:00,2023-10-17T16:17:37+00:00,2023-10-17T16:20:03+00:00
4797,2023-10-17T16:20:57+00:00,2023-10-17T16:20:57+00:00,2023-10-17T16:20:57+00:00,2023-10-17T16:20:57+00:00,2023-10-17T16:23:21+00:00
4798,2023-10-17T16:28:42+00:00,2023-10-17T16:28:42+00:00,2023-10-17T16:28:42+00:00,2023-10-17T16:28:42+00:00,2023-10-17T16:29:14+00:00
4799,2023-10-17T16:29:42+00:00,2023-10-17T16:29:42+00:00,2023-10-17T16:29:42+00:00,2023-10-17T16:29:42+00:00,2023-10-17T16:30:13+00:00
4800,2023-10-17T16:30:42+00:00,2023-10-17T16:30:42+00:00,2023-10-17T16:30:42+00:00,2023-10-17T16:30:42+00:00,2023-10-17T16:31:14+00:00
4801,2023-10-17T16:31:42+00:00,2023-10-17T16:31:42+00:00,2023-10-17T16:31:43+00:00,2023-10-17T16:31:42+00:00,2023-10-17T16:32:14+00:00
4802,2023-10-17T16:33:42+00:00,2023-10-17T16:32:42+00:00,2023-10-17T16:32:43+00:00,2023-10-17T16:32:42+00:00,2023-10-17T16:33:15+00:00
4803,2023-10-17T16:33:42+00:00,2023-10-17T16:33:42+00:00,2023-10-17T16:33:43+00:00,2023-10-17T16:33:42+00:00,2023-10-17T16:34:15+00:00
4804,2023-10-17T16:34:42+00:00,2023-10-17T16:34:42+00:00,2023-10-17T16:34:43+00:00,2023-10-17T16:34:42+00:00,2023-10-17T16:35:15+00:00
4805,2023-10-17T16:35:42+00:00,2023-10-17T16:35:42+00:00,2023-10-17T16:35:43+00:00,2023-10-17T16:35:42+00:00,2023-10-17T16:36:16+00:00
4806,2023-10-17T16:36:42+00:00,2023-10-17T16:36:42+00:00,2023-10-17T16:36:43+00:00,2023-10-17T16:36:42+00:00,2023-10-17T16:37:17+00:00
4807,2023-10-17T16:37:42+00:00,2023-10-17T16:37:42+00:00,2023-10-17T16:37:43+00:00,2023-10-17T16:37:42+00:00,2023-10-17T16:38:15+00:00
4808,2023-10-17T16:38:42+00:00,2023-10-17T16:38:42+00:00,2023-10-17T16:38:43+00:00,2023-10-17T16:38:42+00:00,2023-10-17T16:39:13+00:00
4809,2023-10-17T16:39:42+00:00,2023-10-17T16:39:42+00:00,2023-10-17T16:39:43+00:00,2023-10-17T16:39:42+00:00,2023-10-17T16:40:15+00:00
4810,2023-10-17T16:40:42+00:00,2023-10-17T16:40:42+00:00,2023-10-17T16:40:43+00:00,2023-10-17T16:40:42+00:00,2023-10-17T16:41:14+00:00
4811,2023-10-17T16:41:42+00:00,2023-10-17T16:41:42+00:00,2023-10-17T16:41:43+00:00,2023-10-17T16:41:42+00:00,2023-10-17T16:42:15+00:00
4812,2023-10-17T16:42:42+00:00,2023-10-17T16:42:42+00:00,2023-10-17T16:42:43+00:00,2023-10-17T16:42:42+00:00,2023-10-17T16:43:15+00:00
4813,2023-10-17T16:43:42+00:00,2023-10-17T16:43:42+00:00,2023-10-17T16:43:43+00:00,2023-10-17T16:43:42+00:00,2023-10-17T16:44:18+00:00
4814,2023-10-17T16:44:42+00:00,2023-10-17T16:44:42+00:00,2023-10-17T16:44:43+00:00,2023-10-17T16:44:42+00:00,2023-10-17T16:45:16+00:00
4815,2023-10-17T16:45:42+00:00,2023-10-17T16:45:42+00:00,2023-10-17T16:45:43+00:00,2023-10-17T16:45:42+00:00,2023-10-17T16:46:16+00:00
4816,2023-10-17T16:46:42+00:00,2023-10-17T16:46:42+00:00,2023-10-17T16:46:43+00:00,2023-10-17T16:46:42+00:00,2023-10-17T16:47:15+00:00
4817,2023-10-17T16:47:42+00:00,2023-10-17T16:47:42+00:00,2023-10-17T16:47:43+00:00,2023-10-17T16:47:42+00:00,2023-10-17T16:48:14+00:00
4818,2023-10-17T16:52:01+00:00,2023-10-17T16:52:01+00:00,2023-10-17T16:52:02+00:00,2023-10-17T16:52:01+00:00,2023-10-17T16:52:34+00:00
4819,2023-10-17T16:53:01+00:00,2023-10-17T16:53:01+00:00,2023-10-17T16:53:02+00:00,2023-10-17T16:53:01+00:00,2023-10-17T16:53:34+00:00
4820,2023-10-17T16:54:01+00:00,2023-10-17T16:54:01+00:00,2023-10-17T16:55:02+00:00,2023-10-17T16:54:01+00:00,2023-10-17T16:54:35+00:00
4821,2023-10-17T16:55:01+00:00,2023-10-17T16:55:01+00:00,2023-10-17T16:55:02+00:00,2023-10-17T16:55:01+00:00,2023-10-17T16:55:34+00:00
4822,2023-10-17T16:56:01+00:00,2023-10-17T16:56:01+00:00,2023-10-17T16:56:02+00:00,2023-10-17T16:56:01+00:00,2023-10-17T16:56:35+00:00
4823,2023-10-17T16:57:01+00:00,2023-10-17T16:57:01+00:00,2023-10-17T16:57:02+00:00,2023-10-17T16:57:01+00:00,2023-10-17T16:57:35+00:00
4824,2023-10-17T16:58:01+00:00,2023-10-17T16:58:01+00:00,2023-10-17T16:58:02+00:00,2023-10-17T16:58:01+00:00,2023-10-17T16:58:36+00:00
4825,2023-10-17T16:59:01+00:00,2023-10-17T16:59:01+00:00,2023-10-17T16:59:02+00:00,2023-10-17T16:59:01+00:00,2023-10-17T16:59:34+00:00
4826,2023-10-17T17:00:01+00:00,2023-10-17T17:00:01+00:00,2023-10-17T17:00:02+00:00,2023-10-17T17:00:01+00:00,2023-10-17T17:00:35+00:00
4827,2023-10-17T17:01:01+00:00,2023-10-17T17:01:01+00:00,2023-10-17T17:01:02+00:00,2023-10-17T17:01:02+00:00,2023-10-17T17:01:34+00:00
4828,2023-10-17T17:09:24+00:00,2023-10-17T17:09:24+00:00,2023-10-17T17:09:25+00:00,2023-10-17T17:09:25+00:00,2023-10-17T17:09:32+00:00
4829,2023-10-17T17:09:44+00:00,2023-10-17T17:09:44+00:00,2023-10-17T17:09:45+00:00,2023-10-17T17:09:45+00:00,2023-10-17T17:09:53+00:00
4830,2023-10-17T17:10:04+00:00,2023-10-17T17:10:04+00:00,2023-10-17T17:10:05+00:00,2023-10-17T17:10:05+00:00,2023-10-17T17:10:12+00:00
4831,2023-10-17T17:10:24+00:00,2023-10-17T17:10:24+00:00,2023-10-17T17:10:25+00:00,2023-10-17T17:10:25+00:00,2023-10-17T17:10:32+00:00
4832,2023-10-17T17:10:44+00:00,2023-10-17T17:10:44+00:00,2023-10-17T17:10:45+00:00,2023-10-17T17:10:44+00:00,2023-10-17T17:10:52+00:00
4833,2023-10-17T17:11:04+00:00,2023-10-17T17:11:04+00:00,2023-10-17T17:11:05+00:00,2023-10-17T17:11:05+00:00,2023-10-17T17:11:13+00:00
4834,2023-10-17T17:11:24+00:00,2023-10-17T17:11:24+00:00,2023-10-17T17:11:25+00:00,2023-10-17T17:11:25+00:00,2023-10-17T17:11:32+00:00
4835,2023-10-17T17:11:44+00:00,2023-10-17T17:11:44+00:00,2023-10-17T17:11:45+00:00,2023-10-17T17:11:45+00:00,2023-10-17T17:11:52+00:00
4836,2023-10-17T17:12:05+00:00,2023-10-17T17:12:04+00:00,2023-10-17T17:12:05+00:00,2023-10-17T17:12:05+00:00,2023-10-17T17:12:12+00:00
4837,2023-10-17T17:12:24+00:00,2023-10-17T17:12:24+00:00,2023-10-17T17:12:25+00:00,2023-10-17T17:12:25+00:00,2023-10-17T17:12:32+00:00
4838,2023-10-17T17:12:45+00:00,2023-10-17T17:12:44+00:00,2023-10-17T17:12:45+00:00,2023-10-17T17:12:45+00:00,2023-10-17T17:12:52+00:00
4839,2023-10-17T17:13:04+00:00,2023-10-17T17:13:04+00:00,2023-10-17T17:13:05+00:00,2023-10-17T17:13:05+00:00,2023-10-17T17:13:12+00:00
4840,2023-10-17T17:13:25+00:00,2023-10-17T17:13:24+00:00,2023-10-17T17:13:25+00:00,2023-10-17T17:13:25+00:00,2023-10-17T17:13:32+00:00
4841,2023-10-17T17:13:45+00:00,2023-10-17T17:13:45+00:00,2023-10-17T17:13:45+00:00,2023-10-17T17:13:45+00:00,2023-10-17T17:13:52+00:00
4842,2023-10-17T17:14:04+00:00,2023-10-17T17:14:05+00:00,2023-10-17T17:14:05+00:00,2023-10-17T17:14:05+00:00,2023-10-17T17:14:13+00:00
4843,2023-10-17T17:14:25+00:00,2023-10-17T17:14:24+00:00,2023-10-17T17:14:25+00:00,2023-10-17T17:14:25+00:00,2023-10-17T17:14:33+00:00
4844,2023-10-17T17:14:45+00:00,2023-10-17T17:14:45+00:00,2023-10-17T17:14:45+00:00,2023-10-17T17:14:45+00:00,2023-10-17T17:14:53+00:00
4845,2023-10-17T17:15:25+00:00,2023-10-17T17:15:04+00:00,2023-10-17T17:15:05+00:00,2023-10-17T17:15:05+00:00,2023-10-17T17:15:13+00:00
4846,2023-10-17T17:15:45+00:00,2023-10-17T17:15:25+00:00,2023-10-17T17:15:25+00:00,2023-10-17T17:15:25+00:00,2023-10-17T17:15:33+00:00
4847,2023-10-17T17:16:05+00:00,2023-10-17T17:15:45+00:00,2023-10-17T17:15:45+00:00,2023-10-17T17:15:45+00:00,2023-10-17T17:15:52+00:00
4848,2023-10-17T17:16:05+00:00,2023-10-17T17:16:05+00:00,2023-10-17T17:16:05+00:00,2023-10-17T17:16:05+00:00,2023-10-17T17:16:13+00:00
4849,2023-10-17T17:16:25+00:00,2023-10-17T17:16:25+00:00,2023-10-17T17:16:25+00:00,2023-10-17T17:16:25+00:00,2023-10-17T17:16:32+00:00
4850,2023-10-17T17:16:45+00:00,2023-10-17T17:16:45+00:00,2023-10-17T17:16:45+00:00,2023-10-17T17:16:45+00:00,2023-10-17T17:16:53+00:00
4851,2023-10-17T17:17:05+00:00,2023-10-17T17:17:05+00:00,2023-10-17T17:17:05+00:00,2023-10-17T17:17:05+00:00,2023-10-17T17:17:12+00:00
4852,2023-10-17T17:17:25+00:00,2023-10-17T17:17:25+00:00,2023-10-17T17:17:25+00:00,2023-10-17T17:17:45+00:00,2023-10-17T17:17:32+00:00
4853,2023-10-17T17:17:45+00:00,2023-10-17T17:17:45+00:00,2023-10-17T17:17:45+00:00,2023-10-17T17:17:45+00:00,2023-10-17T17:17:52+00:00
4854,2023-10-17T17:18:05+00:00,2023-10-17T17:18:05+00:00,2023-10-17T17:18:05+00:00,2023-10-17T17:18:05+00:00,2023-10-17T17:18:12+00:00
4855,2023-10-17T17:18:25+00:00,2023-10-17T17:18:25+00:00,2023-10-17T17:18:25+00:00,2023-10-17T17:18:25+00:00,2023-10-17T17:18:33+00:00
4856,2023-10-17T17:18:45+00:00,2023-10-17T17:18:45+00:00,2023-10-17T17:18:45+00:00,2023-10-17T17:18:45+00:00,2023-10-17T17:18:53+00:00
4857,2023-10-17T17:19:05+00:00,2023-10-17T17:19:05+00:00,2023-10-17T17:19:05+00:00,2023-10-17T17:19:05+00:00,2023-10-17T17:19:13+00:00
4858,2023-10-17T17:23:45+00:00,2023-10-17T17:23:45+00:00,2023-10-17T17:23:46+00:00,2023-10-17T17:23:46+00:00,2023-10-17T17:23:48+00:00
4859,2023-10-17T17:23:55+00:00,2023-10-17T17:23:55+00:00,2023-10-17T17:23:56+00:00,2023-10-17T17:23:56+00:00,2023-10-17T17:23:58+00:00
