id,slurm_id,elapsed
10701,11273705,00:06:13
10747,11374451,00:05:21
10706,11358588,00:04:22
10733,11370031,00:04:29
10736,11370863,00:04:22
10748,11374490,00:05:33
10719,11366728,00:06:07
10713,11361409,00:04:14
10728,11368550,00:04:50
10705,11355667,00:05:15
10702,11353992,00:04:10
10708,11359410,00:03:53
10707,11359067,00:04:46
10711,11360773,00:04:11
10704,11355653,00:05:22
10709,11359648,00:04:28
10732,11369731,00:06:06
10700,11272878,00:04:03
9449,8595765,00:05:19
10725,11367378,00:04:30
10723,11367179,00:06:04
10730,11369304,00:04:04
10722,11366969,00:04:36
10729,11369116,00:04:49
11190,13475833,00:06:35
11210,13506958,00:05:13
11196,13499900,00:04:59
11233,13556338,00:04:50
11200,13502253,00:05:08
11388,14057031,00:05:00
11247,13600367,00:04:42
11202,13502537,00:04:29
11215,13510717,00:05:57
11234,13556906,00:04:34
11206,13504693,00:04:56
11216,13510722,00:06:11
11208,13506066,00:04:18
11218,13512807,00:04:59
11242,13585268,00:04:38
11221,13513968,00:04:18
11406,14090322,00:04:30
11243,13589844,00:04:32
11399,14089797,00:04:19
11384,14053406,00:04:50
11393,14058968,00:05:06
11411,14090594,00:04:24
11413,14090677,00:04:22
11424,14093287,00:06:06
11422,14092858,00:06:14
11427,14093559,00:04:33
11429,14094124,00:04:34
11438,14096838,00:04:51
11440,14097507,00:04:31
11443,14098201,00:04:46
11444,14098582,00:05:22
11426,14093485,00:04:31
11212,13508026,00:05:16
11245,13592551,00:04:45
12203,15583898,00:04:40
11213,13509827,00:05:57
11226,13515285,00:08:25
11401,14089878,00:04:22
11235,13557705,00:05:09
11198,13501520,00:04:17
11244,13591676,00:04:25
11389,14057864,00:04:50
11430,14094297,00:04:56
11408,14090466,00:04:37
11394,14059323,00:05:08
11415,14091453,00:07:30
11416,14091456,00:07:30
11428,14093711,00:04:37
11445,14098767,00:04:41
11439,14097178,00:04:39
11229,13550145,00:06:49
11183,13410987,00:04:25
11223,13514297,00:04:39
11204,13503227,00:04:44
11184,13412737,00:04:20
11209,13506475,00:05:26
11402,14090071,00:04:33
11191,13476598,00:10:42
12191,15571662,00:04:19
11211,13507559,00:04:50
11193,13496282,00:04:39
12202,15583575,00:04:45
12206,15584857,00:05:11
11230,13550584,00:05:17
11217,13511347,00:04:30
11197,13500206,00:07:31
11199,13502008,00:05:01
11236,13558327,00:04:56
11220,13513249,00:04:49
11225,13515278,00:08:26
11227,13515287,00:07:47
11237,13560946,00:04:19
11395,14059542,00:04:54
11390,14058184,00:04:55
11429,14094512,00:06:21
11432,14094787,00:04:52
11414,14090910,00:04:30
11405,14090262,00:04:36
11417,14091458,00:07:38
11423,14092862,00:06:02
11396,14059714,00:04:59
11222,13514208,00:05:02
11232,13551887,00:04:21
11186,13420233,00:04:15
11187,13423578,00:04:03
11191,13491809,00:04:34
11421,14092517,00:04:14
11201,13502302,00:05:02
11386,14056924,00:05:02
11250,13603961,00:05:30
11219,13513049,00:05:04
11391,14058606,00:05:02
11425,14093294,00:05:57
11403,14090160,00:05:45
11442,14098048,00:04:26
11433,14095120,00:04:47
11450,14099948,00:04:09
11412,14090609,00:04:27
11214,13509831,00:05:55
11246,13593872,00:04:46
11192,13494732,00:05:05
11392,14058859,00:05:21
11224,13514609,00:05:18
11194,13498863,00:04:23
11195,13499410,00:04:15
11228,13550124,00:06:46
11203,13502893,00:05:17
11205,13503753,00:04:57
11231,13551110,00:05:27
11238,13563711,00:04:13
11242,,00:00:37
11410,14090526,00:04:21
11400,14089830,00:04:25
11397,14059866,00:04:34
11385,14053868,00:04:36
11409,14090503,00:04:21
11398,14059975,00:04:33
11431,14094501,00:06:17
11420,14091889,00:15:59
11435,14095754,00:05:10
11434,14095413,00:04:31
11437,14096512,00:04:32
11449,14099802,00:04:25
12599,16445666,00:05:24
12603,16446488,00:05:25
12259,15626926,00:04:10
12200,15582890,00:04:38
12692,16870329,00:05:12
12220,15618013,00:04:57
12735,16894662,00:05:45
12231,15624741,00:06:44
12717,16890188,00:05:38
12600,16445795,00:05:17
12241,15625426,00:07:41
12701,16886006,00:06:26
